Contig,Source,Locus,Number of Genes (before filtering)
JBKSIZ010000407.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1713_89780_pri,IGH,113
JBKSIZ010000126.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1713_89780_pri,IGL,89
JBKSIY010000183.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10093_pri,IGH,110
JBKSIY010000049.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10093_pri,IGL,47
JBKSIX010000396.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10702_pri,IGH,89
JBKSIX010000049.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10702_pri,IGL,47
JBKSIW010000325.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10717_pri,IGH,129
JBKSIW010000005.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10717_pri,IGL,47
JBKSIV010000180.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10752_pri,IGH,172
JBKSIV010000043.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10752_pri,IGL,68
JBKSIU010000719.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10831_pri,IGH,107
JBKSIU010000003.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_10831_pri,IGL,47
JBKSIT010000383.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20908_pri,IGH,97
JBKSIT010000047.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20908_pri,IGL,47
JBKSIS010000276.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20930_pri,IGH,101
JBKSIS010000055.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20930_pri,IGL,68
JBKSIR010000064.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20934_pri,IGH,174
JBKSIR010000033.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20934_pri,IGL,47
JBKSIP010000103.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20954_pri,IGH,123
JBKSIP010000098.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20954_pri,IGL,47
JBKSIO010000776.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20970_pri,IGH,99
JBKSIO010000052.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20970_pri,IGL,89
JBKSIQ010000189.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1873_20946_pri,IGH,124
JBKSIN010000286.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74536_pri,IGH,106
JBKSIN010000014.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74536_pri,IGL,98
JBKSIM010000455.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74537_pri,IGH,109
JBKSIM010000049.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74537_pri,IGL,98
JBKSIL010000486.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74539_pri,IGH,107
JBKSIL010000101.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74539_pri,IGL,98
JBKSIK010000354.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74544_pri,IGH,103
JBKSIK010000080.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74544_pri,IGL,98
JBKSIJ010000296.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74563_pri,IGH,107
JBKSIJ010000122.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74563_pri,IGL,98
JBKSII010000375.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74565_pri,IGH,101
JBKSII010000107.1,Songbirds/Island_scrub_jay/A.insularis_AI_1363_74565_pri,IGL,98
JBKSIH010000412.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79174_pri,IGH,100
JBKSIH010000029.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79174_pri,IGL,98
JBKSIG010000080.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79203_pri,IGH,103
JBKSIG010000063.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79203_pri,IGL,112
JBKSIF010000236.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79218_pri,IGH,108
JBKSIF010000127.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79218_pri,IGL,98
JBKSIE010000594.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79232_pri,IGH,106
JBKSIE010000069.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79232_pri,IGL,97
JBKSID010000251.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79302_pri,IGH,78
JBKSID010000041.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79302_pri,IGL,96
JBKSIC010000130.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79315_pri,IGH,105
JBKSIC010000005.1,Songbirds/Island_scrub_jay/A.insularis_AI_1603_79315_pri,IGL,98
JBKSIB010000433.1,Songbirds/Island_scrub_jay/A.insularis_AI_1703_64680_pri,IGH,104
JBKSIB010000030.1,Songbirds/Island_scrub_jay/A.insularis_AI_1703_64680_pri,IGL,98
JBKSIA010000377.1,Songbirds/Island_scrub_jay/A.insularis_AI_1833_00513_pri,IGH,104
JBKSIA010000078.1,Songbirds/Island_scrub_jay/A.insularis_AI_1833_00513_pri,IGL,98
JBKSHZ010000236.1,Songbirds/Island_scrub_jay/A.insularis_AI_1833_00687_pri,IGH,102
JBKSHZ010000002.1,Songbirds/Island_scrub_jay/A.insularis_AI_1833_00687_pri,IGL,98
JBKSHY010000175.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365326_pri,IGH,152
JBKSHY010000019.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365326_pri,IGL,66
JBKSHX010000025.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365327_pri,IGL,74
JBKSHW010000455.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365335_pri,IGH,125
JBKSHW010000018.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365335_pri,IGL,51
JBKSHV010000061.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365337_pri,IGL,83
JBKSHU010000003.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365338_pri,IGL,62
JBKSHT010000636.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365339_pri,IGH,119
JBKSHT010000041.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_365339_pri,IGL,83
JBKSHS010000664.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366487_pri,IGH,53
JBKSHR010000651.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366488_pri,IGH,153
JBKSHR010000046.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366488_pri,IGL,92
JBKSHQ010000480.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366490_pri,IGH,193
JBKSHQ010000065.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366490_pri,IGL,133
JBKSHP010000516.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366493_pri,IGH,138
JBKSHP010000027.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366493_pri,IGL,109
JBKSHO010000436.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366494_pri,IGH,251
JBKSHO010000082.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366494_pri,IGL,77
JBKSHN010000326.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366497_pri,IGH,68
JBKSHN010000025.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366497_pri,IGL,52
JBKSHM010000737.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366498_pri,IGH,82
JBKSHM010000118.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366498_pri,IGL,47
JBKSHL010000009.1,Songbirds/Woodhouse_scrub_jay/A.woodhouseii_AW_366499_pri,IGL,98
JBKSHK010000378.1,Songbirds/Yucatan_jay/C.yucatanicus_CY_8788_pri,IGH,157
JBKSHK010000041.1,Songbirds/Yucatan_jay/C.yucatanicus_CY_8788_pri,IGL,54
JBVOXG010000006.1,Songbirds/Chestnut_seedeater/bSpoCin1_alt,IGL,24
JBVOXI010000665.1,Songbirds/Chestnut_seedeater/bSpoCin2_alt,IGH,104
JBVOXI010000006.1,Songbirds/Chestnut_seedeater/bSpoCin2_alt,IGL,24
JBVOXF010000091.1,Songbirds/Chestnut_seedeater/bSpoCin3_pri,IGH,222
JBVOXF010000024.1,Songbirds/Chestnut_seedeater/bSpoCin3_pri,IGL,25
JBVOXH010000086.1,Songbirds/Chestnut_seedeater/bSpoCin4_pri,IGH,456
JBVOXH010000024.1,Songbirds/Chestnut_seedeater/bSpoCin4_pri,IGL,24
JBVOWU010000188.1,Songbirds/Dark_throated_seedeater/bSpoRuf1_alt,IGL,23
JBVOWS010000010.1,Songbirds/Dark_throated_seedeater/bSpoRuf2_alt,IGL,24
JBVOWR010000102.1,Songbirds/Dark_throated_seedeater/bSpoRuf3_pri,IGH,146
JBVOWR010000026.1,Songbirds/Dark_throated_seedeater/bSpoRuf3_pri,IGL,24
JBVOWT010000194.1,Songbirds/Dark_throated_seedeater/bSpoRuf4_pri,IGH,141
JBVOWT010000045.1,Songbirds/Dark_throated_seedeater/bSpoRuf4_pri,IGL,29
JBVOXE010000008.1,Songbirds/Grey_and_chestnut_seedeater/bSpoHyp1_alt,IGL,23
JBVOXD010000092.1,Songbirds/Grey_and_chestnut_seedeater/bSpoHyp2_pri,IGH,344
JBVOXD010000032.1,Songbirds/Grey_and_chestnut_seedeater/bSpoHyp2_pri,IGL,24
JBRFQN010000379.1,Songbirds/Ibera_seedeater/bSpoIbe1,IGH,1
JBRFQN010000002.1,Songbirds/Ibera_seedeater/bSpoIbe1,IGL,24
JBRFQP010000055.1,Songbirds/Ibera_seedeater/bSpoIbe2,IGL,22
JBRFQT010000017.1,Songbirds/Ibera_seedeater/bSpoIbe3,IGL,23
JBRFQR010000027.1,Songbirds/Ibera_seedeater/bSpoIbe4,IGL,24
JBRFQM010000056.1,Songbirds/Ibera_seedeater/bSpoIbe5,IGH,111
JBRFQM010000023.1,Songbirds/Ibera_seedeater/bSpoIbe5,IGL,24
JBRFQO010000064.1,Songbirds/Ibera_seedeater/bSpoIbe6,IGH,153
JBRFQO010000022.1,Songbirds/Ibera_seedeater/bSpoIbe6,IGL,24
JBRFQQ010000134.1,Songbirds/Ibera_seedeater/bSpoIbe7,IGH,105
JBRFQQ010000035.1,Songbirds/Ibera_seedeater/bSpoIbe7,IGL,23
JBRFQS010000098.1,Songbirds/Ibera_seedeater/bSpoIbe8,IGH,152
JBRFQS010000021.1,Songbirds/Ibera_seedeater/bSpoIbe8,IGL,24
JBVOWY010000164.1,Songbirds/Marsh_seedeater/bSpoPal1_alt,IGL,24
JBVOXA010000842.1,Songbirds/Marsh_seedeater/bSpoPal2_alt,IGH,187
JBVOXA010000007.1,Songbirds/Marsh_seedeater/bSpoPal2_alt,IGL,23
JBVOWZ010000199.1,Songbirds/Marsh_seedeater/bSpoPal3_pri,IGH,295
JBVOWZ010000037.1,Songbirds/Marsh_seedeater/bSpoPal3_pri,IGL,24
JBVOXB010000171.1,Songbirds/Marsh_seedeater/bSpoPal4_pri,IGH,246
JBVOXB010000037.1,Songbirds/Marsh_seedeater/bSpoPal4_pri,IGL,23
JBVOXC010000054.1,Songbirds/Marsh_seedeater/bSpoPal5_alt,IGL,24
JBVOWX010000156.1,Songbirds/Marsh_seedeater/bSpoPal6_pri,IGH,306
JBVOWX010000037.1,Songbirds/Marsh_seedeater/bSpoPal6_pri,IGL,23
JBVOWW010000052.1,Songbirds/Pearly_bellied_seedeater/bSpoPil1_alt,IGL,24
JBVOWV010000239.1,Songbirds/Pearly_bellied_seedeater/bSpoPil2_pri,IGH,313
JBVOWV010000035.1,Songbirds/Pearly_bellied_seedeater/bSpoPil2_pri,IGL,24
JBRFQV010000007.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp1,IGL,24
JBRFQX010000135.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp2,IGL,24
JBRFQZ010000224.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp3,IGL,23
JBRFQU010000075.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp4,IGH,128
JBRFQU010000022.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp4,IGL,25
JBRFQW010000065.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp5,IGL,23
JBRFQY010000121.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp6,IGH,71
JBRFQY010000027.1,Songbirds/Tawny_bellied_seedeater/bSpoHyp6,IGL,23
h2tg001067l,Songbirds/Common_cactus_finch/Scandens_alt,IGH,165
h2tg000672l,Songbirds/Common_cactus_finch/Scandens_alt,IGL,19
h1tg001076l,Songbirds/Common_cactus_finch/Scandens_pri,IGH,164
h1tg000070l,Songbirds/Common_cactus_finch/Scandens_pri,IGL,19
h2tg001584l,Songbirds/Large_ground_finch/Magnirostris_alt,IGH,49
h2tg000404l,Songbirds/Large_ground_finch/Magnirostris_alt,IGL,14
h1tg000218l,Songbirds/Large_ground_finch/Magnirostris_pri,IGL,19
h2tg000509l,Songbirds/Medium_ground_finch/Fortis_pri,IGH,83
h2tg000060l,Songbirds/Medium_ground_finch/Fortis_pri,IGL,19
u000002194,Songbirds/Medium_ground_finch/GeospizaFortis_HiC,IGH,122
u000001690,Songbirds/Medium_ground_finch/GeospizaFortis_HiC,IGL,19
h2tg001418l,Songbirds/Small_ground_finch/Fuliginosa_alt,IGH,36
h2tg000027l,Songbirds/Small_ground_finch/Fuliginosa_alt,IGL,19
h1tg000028l,Songbirds/Small_ground_finch/Fuliginosa_pri,IGL,19
LR761588.1,Songbirds/Small_tree_finch/GCA_902806625_1,IGL,19
OX451257.1,Cormorants/European_Shag/bGulAri2_pri,IGH,49
OX451238.1,Cormorants/European_Shag/bGulAri2_pri,IGL,18
CATIVF010004632.1,Cormorants/European_Shag/bGulAri2_alt,IGH,15
OY997631.1,Cormorants/Great_Cormorant/bPhaCar2_pri,IGH,140
OY997617.1,Cormorants/Great_Cormorant/bPhaCar2_pri,IGL,18
CAWUGX010000046.1,Cormorants/Great_Cormorant/bPhaCar2_alt,IGH,103
CAWUGX010000717.1,Cormorants/Great_Cormorant/bPhaCar2_alt,IGL,30
JAKCOY010000186.1,Cranes/Black_Rail/bLatJam1_alt,IGL,34
JAKCOX010000040.1,Cranes/Black_Rail/bLatJam1_pri,IGL,35
JAAIYC010000035.1,Cranes/Grey_CrownedCrane/bBalReg1_pri,IGH,44
CM021634.1,Cranes/Grey_CrownedCrane/bBalReg1_pri,IGL,29
JAAIYD010000418.1,Cranes/Grey_CrownedCrane/bBalReg1_alt,IGL,30
CM054341.1,Cranes/Whooping_Crane/bGruAme1_pri,IGH,83
CM054320.1,Cranes/Whooping_Crane/bGruAme1_pri,IGL,24
JARBUR010000098.1,Cranes/Whooping_Crane/bGruAme1_alt,IGH,95
CM054283.1,Cranes/Whooping_Crane/bGruAme1_alt,IGL,26
CAXKZJ010000466.1,Cranes/Eurasian_Crane/bGruGru1_pri,IGH,169
OZ067119.1,Cranes/Eurasian_Crane/bGruGru1_pri,IGL,24
JAJHSY010000139.1,Cranes/Takahe/bPorHoc1_pri,IGH,187
CM036922.1,Cranes/Takahe/bPorHoc1_pri,IGL,52
JAJHSZ010000035.1,Cranes/Takahe/bPorHoc1_alt,IGH,130
JAJHSZ010000021.1,Cranes/Takahe/bPorHoc1_alt,IGL,57
OZ175174.1,Cranes/Common_Moorhen/bGalChl1_pri,IGH,784
OZ175157.1,Cranes/Common_Moorhen/bGalChl1_pri,IGL,30
JAKCOZ010000089.1,Cranes/Virginia_Rail/bRalLim1_pri,IGH,789
JAKCOZ010000020.1,Cranes/Virginia_Rail/bRalLim1_pri,IGL,30
JAKCPA010000110.1,Cranes/Virginia_Rail/bRalLim1_alt,IGH,1293
JAKCPA010000022.1,Cranes/Virginia_Rail/bRalLim1_alt,IGL,28
CM106464.1,MiscBirds/Elegant_Crested_Tinamou/bEudEle1_pri,IGH,24
CM106443.1,MiscBirds/Elegant_Crested_Tinamou/bEudEle1_pri,IGL,14
CM106405.1,MiscBirds/Elegant_Crested_Tinamou/bEudEle1_alt,IGL,13
CM050654.1,MiscBirds/Kagu/bRhyJub1_pri,IGH,55
CM050666.1,MiscBirds/Kagu/bRhyJub1_pri,IGL,21
JAQBHZ010000325.1,MiscBirds/Kagu/bRhyJub1_alt,IGH,66
JAQBHZ010001033.1,MiscBirds/Kagu/bRhyJub1_alt,IGL,18
CM030675.1,MiscBirds/Common_Cuckoo/bCucCan1_pri,IGH,44
CM030653.1,MiscBirds/Common_Cuckoo/bCucCan1_pri,IGL,14
JAGIYU010000353.1,MiscBirds/Common_Cuckoo/bCucCan1_alt,IGL,14
CM029183.1,MiscBirds/Rifleman/bAcaChl1_pri,IGH,136
CM029205.1,MiscBirds/Rifleman/bAcaChl1_pri,IGL,73
JAFCHR010002746.1,MiscBirds/Rifleman/bAcaChl1_alt,IGH,115
JAFCHR010002834.1,MiscBirds/Rifleman/bAcaChl1_alt,IGL,28
CM071247.1,MiscBirds/North_Island_Brown_Kiwi/bAptMan1_pri,IGH,70
CM071225.1,MiscBirds/North_Island_Brown_Kiwi/bAptMan1_pri,IGL,26
CM071204.1,MiscBirds/North_Island_Brown_Kiwi/bAptMan1_alt,IGH,44
CM071182.1,MiscBirds/North_Island_Brown_Kiwi/bAptMan1_alt,IGL,29
CM072425.1,MiscBirds/Emu/bDroNov1_pri,IGH,31
CM072404.1,MiscBirds/Emu/bDroNov1_pri,IGL,34
CM072384.1,MiscBirds/Emu/bDroNov1_alt,IGH,32
CM072365.1,MiscBirds/Emu/bDroNov1_alt,IGL,34
CM075622.1,MiscBirds/King_Vulture/bSarPap1_pri,IGH,46
CM075603.1,MiscBirds/King_Vulture/bSarPap1_pri,IGL,28
CM075583.1,MiscBirds/King_Vulture/bSarPap1_alt,IGH,48
CM075564.1,MiscBirds/King_Vulture/bSarPap1_alt,IGL,29
CM081614.1,MiscBirds/Common_Ostrich/bStrCam1_pri,IGH,29
CM081602.1,MiscBirds/Common_Ostrich/bStrCam1_pri,IGL,43
CM081575.1,MiscBirds/Common_Ostrich/bStrCam1_alt,IGH,29
CM081563.1,MiscBirds/Common_Ostrich/bStrCam1_alt,IGL,46
CM054361.1,MiscBirds/Speckled_Mousebird/bColStr4_pri,IGL,17
JARBXQ010000175.1,MiscBirds/Speckled_Mousebird/bColStr4_alt,IGH,54
CM054223.1,MiscBirds/Speckled_Mousebird/bColStr4_alt,IGL,17
JAVHSP010000381.1,MiscBirds/Northern_Gannet/bMorBas2_pri,IGH,66
CM062543.1,MiscBirds/Northern_Gannet/bMorBas2_pri,IGL,63
JAVHSO010000220.1,MiscBirds/Northern_Gannet/bMorBas2_alt,IGH,117
CM062577.1,MiscBirds/Northern_Gannet/bMorBas2_alt,IGL,20
CAJRAV010000001.1,MiscBirds/Eurasian_Nightjar/bCapEur3_pri,IGH,168
OU015542.1,MiscBirds/Eurasian_Nightjar/bCapEur3_pri,IGL,14
CAJRAW010002092.1,MiscBirds/Eurasian_Nightjar/bCapEur3_alt,IGH,216
CAJRAW010001258.1,MiscBirds/Eurasian_Nightjar/bCapEur3_alt,IGL,14
CM051797.1,MiscBirds/Lesser_Rhea/bPtePen1_pri,IGH,24
CM051777.1,MiscBirds/Lesser_Rhea/bPtePen1_pri,IGL,34
JAQOLW010000128.1,MiscBirds/Lesser_Rhea/bPtePen1_alt,IGH,24
JAQOLW010000339.1,MiscBirds/Lesser_Rhea/bPtePen1_alt,IGL,26
JAJGQY010000095.1,MiscBirds/Common_Swift/bApuApu2_pri,IGH,2
CM036518.1,MiscBirds/Common_Swift/bApuApu2_pri,IGL,21
JAJGQZ010001640.1,MiscBirds/Common_Swift/bApuApu2_alt,IGH,27
JAJGQZ010000805.1,MiscBirds/Common_Swift/bApuApu2_alt,IGL,20
CM036634.1,MiscBirds/Surucua_Trogon/bTroSur1_pri,IGL,23
JAJGSU010000564.1,MiscBirds/Surucua_Trogon/bTroSur1_alt,IGL,22
OZ196950.1,MiscBirds/RedBilled_Tropicbird/bPhaAeh10_pri,IGH,18
OZ196929.1,MiscBirds/RedBilled_Tropicbird/bPhaAeh10_pri,IGL,19
WNMG01000078.1,MiscBirds/Abyssinian_Ground_Hornbill/bBucAby1_pri,IGH,59
CM020048.1,MiscBirds/Abyssinian_Ground_Hornbill/bBucAby1_pri,IGL,15
WNMH01003450.1,MiscBirds/Abyssinian_Ground_Hornbill/bBucAby1_alt,IGH,29
WNMH01003252.1,MiscBirds/Abyssinian_Ground_Hornbill/bBucAby1_alt,IGL,16
JABXNV010000174.1,MiscBirds/Great_Potoo/bNycGra1_pri,IGH,35
CM023745.1,MiscBirds/Great_Potoo/bNycGra1_pri,IGL,22
JABXNW010001296.1,MiscBirds/Great_Potoo/bNycGra1_alt,IGH,35
JABXNW010000671.1,MiscBirds/Great_Potoo/bNycGra1_alt,IGL,25
WOXW01000105.1,MiscBirds/RedCrested_Turaco/bTauEry1_pri,IGH,49
CM019984.1,MiscBirds/RedCrested_Turaco/bTauEry1_pri,IGL,20
WOXX01003394.1,MiscBirds/RedCrested_Turaco/bTauEry1_alt,IGH,48
WOXX01002182.1,MiscBirds/RedCrested_Turaco/bTauEry1_alt,IGL,19
CM071420.1,MiscBirds/Macqueens_Bustard/bChlMac1_pri,IGH,31
CM071402.1,MiscBirds/Macqueens_Bustard/bChlMac1_pri,IGL,57
CM071384.1,MiscBirds/Macqueens_Bustard/bChlMac1_alt,IGH,30
CM071366.1,MiscBirds/Macqueens_Bustard/bChlMac1_alt,IGL,39
OZ077848.1,MiscBirds/Corys_Shearwater/bCalBor7_pri,IGH,51
OZ077828.1,MiscBirds/Corys_Shearwater/bCalBor7_pri,IGL,68
JAQJZH010000338.1,MiscBirds/Tawny_Frogmouth/bPodStr1_pri,IGH,16
CM051637.1,MiscBirds/Tawny_Frogmouth/bPodStr1_pri,IGL,16
JAQJZI010000277.1,MiscBirds/Tawny_Frogmouth/bPodStr1_alt,IGH,2
JAXIUQ010000319.1,MiscBirds/CuckooRoller/bLepDis1_pri,IGH,132
CM067796.1,MiscBirds/CuckooRoller/bLepDis1_pri,IGL,34
JAXIUR010000273.1,MiscBirds/CuckooRoller/bLepDis1_alt,IGH,89
CM067824.1,MiscBirds/CuckooRoller/bLepDis1_alt,IGL,60
WNMK01000063.1,MiscBirds/American_Flamingo/bPhoRub2_pri,IGH,78
CM020231.1,MiscBirds/American_Flamingo/bPhoRub2_pri,IGL,47
WNML01001384.1,MiscBirds/American_Flamingo/bPhoRub2_alt,IGL,59
JAVFKZ010000056.1,MiscBirds/Hoatzin/bOpiHoa1_pri,IGH,63
CM061394.1,MiscBirds/Hoatzin/bOpiHoa1_pri,IGL,57
JAVFLA010000168.1,MiscBirds/Hoatzin/bOpiHoa1_alt,IGH,29
CM061435.1,MiscBirds/Hoatzin/bOpiHoa1_alt,IGL,75
CM020296.1,MiscBirds/RedLegged_Seriema/bCarCri1_pri,IGH,53
CM020278.1,MiscBirds/RedLegged_Seriema/bCarCri1_pri,IGL,24
WNMP01002712.1,MiscBirds/RedLegged_Seriema/bCarCri1_alt,IGH,12
WNMP01001134.1,MiscBirds/RedLegged_Seriema/bCarCri1_alt,IGL,26
JAGFVN010000099.1,MiscBirds/Maguari_Stork/bCicMag1_pri,IGH,57
CM030206.1,MiscBirds/Maguari_Stork/bCicMag1_pri,IGL,13
JAGFVO010004217.1,MiscBirds/Maguari_Stork/bCicMag1_alt,IGH,135
JAGFVO010002616.1,MiscBirds/Maguari_Stork/bCicMag1_alt,IGL,14
JAJGQW010000131.1,MiscBirds/Whiskered_Treeswift/bHemCom1_pri,IGH,68
CM036602.1,MiscBirds/Whiskered_Treeswift/bHemCom1_pri,IGL,16
JAJGQX010002234.1,MiscBirds/Whiskered_Treeswift/bHemCom1_alt,IGH,16
JAJGQX010001156.1,MiscBirds/Whiskered_Treeswift/bHemCom1_alt,IGL,16
CM060010.1,MiscBirds/Dalmatian_Pelican/bPelCri1_pri,IGL,41
JAUANZ010001380.1,MiscBirds/Dalmatian_Pelican/bPelCri1_alt,IGL,44
WNMU01000037.1,MiscBirds/Carmine_BeeEater/bMerNub1_pri,IGH,75
CM020383.1,MiscBirds/Carmine_BeeEater/bMerNub1_pri,IGL,16
WNMV01001439.1,MiscBirds/Carmine_BeeEater/bMerNub1_alt,IGL,16
CM049918.1,MiscBirds/Humboldt_Penguin/bSphHub1_pri,IGH,41
CM049901.1,MiscBirds/Humboldt_Penguin/bSphHub1_pri,IGL,40
JAPZLK010002995.1,MiscBirds/Humboldt_Penguin/bSphHub1_alt,IGH,41
JAVGJA010000599.1,MiscBirds/RedThroated_Loon/bGavSte3_pri,IGH,55
CM061665.1,MiscBirds/RedThroated_Loon/bGavSte3_pri,IGL,18
JAVGIZ010000770.1,MiscBirds/RedThroated_Loon/bGavSte3_alt,IGH,19
CM061709.1,MiscBirds/RedThroated_Loon/bGavSte3_alt,IGL,20
JBDMAX010000146.1,MiscBirds/Mountain_OwletNightjar/bAegAlb1_pri,IGH,24
CM078478.1,MiscBirds/Mountain_OwletNightjar/bAegAlb1_pri,IGL,15
JBDMAY010000363.1,MiscBirds/Mountain_OwletNightjar/bAegAlb1_alt,IGH,24
CM078405.1,MiscBirds/Mountain_OwletNightjar/bAegAlb1_alt,IGL,25
CM020163.1,MiscBirds/YellowThroated_Sandgrouse/bPteGut1_pri,IGL,17
WNNF01000415.1,MiscBirds/YellowThroated_Sandgrouse/bPteGut1_alt,IGH,1
WNNF01001423.1,MiscBirds/YellowThroated_Sandgrouse/bPteGut1_alt,IGL,15
JASWHT010000018.1,Owls/Spotted_Owl/bStriOcc1_pri,IGL,28
JASWHU010000019.1,Owls/Spotted_Owl/bStriOcc1_alt,IGL,29
JAVFLD010000162.1,Owls/Tawny_Owl/bStrAlu1_pri,IGH,86
CM062893.1,Owls/Tawny_Owl/bStrAlu1_pri,IGL,25
JAVFLE010000124.1,Owls/Tawny_Owl/bStrAlu1_alt,IGH,104
CM062960.1,Owls/Tawny_Owl/bStrAlu1_alt,IGL,24
OZ222767.1,Owls/Little_Owl/bAthNoc1_pri,IGH,35
OZ222746.1,Owls/Little_Owl/bAthNoc1_pri,IGL,32
WNMM01000072.1,Waterfowl/Tufted_Duck/bAytFul2_pri,IGH,62
WNMN01000729.1,Waterfowl/Tufted_Duck/bAytFul2_alt,IGH,11
WNMN01000274.1,Waterfowl/Tufted_Duck/bAytFul2_alt,IGL,62
OZ124251.1,Waterfowl/Common_Pochard/bAytFer1_pri,IGH,53
OZ223647.1,Waterfowl/Greater_Scaup/bAytMar2_pri,IGH,58
OZ037828.1,Waterfowl/RedCrested_Pochard/bNetRuf1_pri,IGH,55
CAXIVA010000902.1,Waterfowl/RedCrested_Pochard/bNetRuf1_alt,IGH,58
CAXIVA010000483.1,Waterfowl/RedCrested_Pochard/bNetRuf1_alt,IGL,72
OZ077013.1,Waterfowl/Mallard/bAnaPla2_pri,IGH,103
NC_092617.1,Waterfowl/Mallard/bPekinDuck_T2T,IGH,86
NC_092602.1,Waterfowl/Mallard/bPekinDuck_T2T,IGL,100
WNMI02000088.1,Waterfowl/Mute_Swan/bCygOlo1_pri,IGH,72
